entry_time,greedy,llm_used,hint,capture_folders,inspection_duration_sec,goal_1_phase_1_duration_sec,goal_1_phase_2_duration_sec,goal_1_phase_3_duration_sec,goal_1_phase_4_duration_sec,goal_1_phase_5_duration_sec,goal_1_phase_6_duration_sec,goal_1_phase_7_duration_sec,goal_1_pictures_taken,goal_2_phase_1_duration_sec,goal_2_phase_2_duration_sec,goal_2_phase_3_duration_sec,goal_2_phase_4_duration_sec,goal_2_phase_5_duration_sec,goal_2_phase_6_duration_sec,goal_2_phase_7_duration_sec,goal_2_pictures_taken,goal_1_agent_metrics,goal_2_agent_metrics,goal_1_langsmith_tokens,goal_1_langsmith_cost,goal_2_langsmith_tokens,goal_2_langsmith_cost
2026-05-14T01:33:00.189827+00:00,Yes,greedy,,run_20260514012616;run_20260514013120,608.625,14.89,13.834,68.932,6.126,44.963,26.95,36.92,6,26.856,1.28,71.384,5.747,45.007,24.418,37.024,6,"{""agent_turns"": 0, ""duration_sec"": 36.876, ""end_time"": 1778722013.1898918, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778721976.3143818, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""validation_turns"": 0}","{""agent_turns"": 0, ""duration_sec"": 36.974, ""end_time"": 1778722317.2554507, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778722280.281218, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T01:42:45.503088+00:00,No,code-gemma-4-26b-a4b-it,easy,run_20260514013741;run_20260514014142,539.669,16.202,10.568,72.257,19.286,44.65,43.779,1.401,0,27.529,6.264,23.828,17.255,46.559,27.749,0.137,0,"{""agent_turns"": 0, ""duration_sec"": 1.365, ""end_time"": 1778722662.9953413, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_013742_994854"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778722661.630576, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 0, ""duration_sec"": 0.085, ""end_time"": 1778722902.9358127, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_014142_935363"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778722902.8511918, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T01:52:16.674193+00:00,No,code-gemma-4-26b-a4b-it,medium,run_20260514014720;run_20260514015115,525.559,15.602,22.683,74.455,10.99,44.526,31.7,1.345,0,28.597,1.349,24.026,1.359,45.183,41.184,0.129,0,"{""agent_turns"": 0, ""duration_sec"": 1.29, ""end_time"": 1778723241.4201944, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_014721_419790"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778723240.1303785, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 0, ""duration_sec"": 0.09, ""end_time"": 1778723475.160307, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_015115_159866"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778723475.070429, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T02:19:56.201640+00:00,No,code-gemma-4-26b-a4b-it,easy,run_20260514020941;run_20260514021622,837.248,16.8,18.329,70.702,16.173,46.675,24.506,158.217,0,28.513,17.392,24.156,1.324,46.92,33.854,152.465,0,"{""agent_turns"": 1, ""duration_sec"": 158.171, ""end_time"": 1778724739.3705611, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_020942_870194"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778724581.1993747, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 152.415, ""end_time"": 1778725135.1862519, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_021622_874542"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778724982.771646, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T02:38:26.247765+00:00,No,code-gemma-4-26b-a4b-it,medium,run_20260514022411;run_20260514023343,1072.567,16.807,18.021,71.706,6.208,48.538,27.27,272.864,0,28.054,10.168,70.961,21.009,46.033,32.245,220.514,0,"{""agent_turns"": 1, ""duration_sec"": 272.761, ""end_time"": 1778725724.0918715, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_022412_888427"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778725451.3304453, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 220.469, ""end_time"": 1778726243.846479, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_023343_469375"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778726023.377842, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T03:44:34.143285+00:00,No,code-gemma-4-26b-a4b-it,hard,,3922.251,,,,,,,,,,,,,,,,,,,,,,
2026-05-14T04:01:28.143228+00:00,No,code-gemma-4-26b-a4b-it,easy,run_20260514034919;run_20260514035702,947.513,16.374,15.432,69.207,11.268,44.821,33.077,237.881,0,28.661,11.376,23.863,1.307,45.476,23.041,202.097,0,"{""agent_turns"": 1, ""duration_sec"": 237.83, ""end_time"": 1778730797.6949325, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_034921_143149"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778730559.8649147, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 202.051, ""end_time"": 1778731224.444396, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_035702_492616"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778731022.3937275, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T04:19:38.092870+00:00,No,code-gemma-4-26b-a4b-it,medium,run_20260514040558;run_20260514041509,1052.438,17.348,28.602,71.275,1.342,44.405,40.381,319.049,0,25.504,12.224,23.881,1.352,45.408,32.713,205.92,0,"{""agent_turns"": 1, ""duration_sec"": 318.999, ""end_time"": 1778731877.0616922, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_040559_458905"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778731558.0631192, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 205.875, ""end_time"": 1778732315.0168428, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_041509_229057"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778732109.1419525, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T04:36:52.317053+00:00,No,code-gemma-4-26b-a4b-it,hard,run_20260514042409;run_20260514043303,987.514,15.953,18.676,70.164,20.358,44.119,26.403,278.227,0,26.041,6.949,23.917,1.327,45.898,58.576,168.899,0,"{""agent_turns"": 1, ""duration_sec"": 278.186, ""end_time"": 1778732927.7196925, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_042411_005415"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778732649.5333583, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 168.856, ""end_time"": 1778733352.0263426, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-26b-a4b-it_20260514_043303_256718"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778733183.1699045, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T04:50:54.147439+00:00,No,code-gemma-4-31b-it,easy,run_20260514044058;run_20260514044701,795.287,15.023,9.647,68.475,10.932,44.732,21.512,137.081,0,28.718,10.547,23.783,1.301,45.283,23.07,170.885,0,"{""agent_turns"": 1, ""duration_sec"": 137.036, ""end_time"": 1778733795.2724593, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260514_044059_624115"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778733658.236192, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 170.848, ""end_time"": 1778734192.340391, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260514_044701_579274"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778734021.491934, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T05:06:46.281918+00:00,No,code-gemma-4-31b-it,medium,run_20260514045514;run_20260514050330,914.556,15.444,20.483,66.188,20.034,44.47,27.074,260.403,0,26.233,14.997,23.981,1.343,46.23,31.238,133.098,0,"{""agent_turns"": 1, ""duration_sec"": 260.362, ""end_time"": 1778734774.8384714, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260514_045515_914803"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778734514.4760728, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 133.04, ""end_time"": 1778735143.2788405, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""medium"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260514_050330_335632"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778735010.2389467, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T05:21:15.590210+00:00,No,code-gemma-4-31b-it,hard,run_20260514051108;run_20260514051809,831.663,17.986,14.302,72.397,18.966,44.636,26.734,168.742,0,27.529,8.608,23.941,1.27,45.587,53.267,122.81,0,"{""agent_turns"": 1, ""duration_sec"": 168.681, ""end_time"": 1778735636.6871912, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260514_051109_532523"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778735468.005693, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 122.768, ""end_time"": 1778736012.667141, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""hard"", ""langsmith_thread_id"": ""code_agent_gemma-4-31b-it_20260514_051809_986793"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 0, ""start_time"": 1778735889.8994358, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 0, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
2026-05-14T14:55:28.705979+00:00,No,code-gemini-2.5-flash-lite,easy,run_20260514144921;run_20260514145412,579.302,19.195,13.419,67.298,6.296,46.066,30.694,42.163,6,28.068,30.143,24.018,5.467,46.217,25.179,15.924,2,"{""agent_turns"": 1, ""duration_sec"": 42.114, ""end_time"": 1778770203.541545, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-flash-lite_20260514_144923_243901"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 1, ""no_tool_calls_made"": 0, ""pictures_taken"": 6, ""start_time"": 1778770161.427905, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 6, ""used_model"": ""gemini-2.5-flash-lite"", ""validation_turns"": 0}","{""agent_turns"": 1, ""duration_sec"": 15.872, ""end_time"": 1778770468.446214, ""graph_loops"": 0, ""graph_recursion_errors"": 0, ""hint_used"": ""easy"", ""langsmith_thread_id"": ""code_agent_gemini-2.5-flash-lite_20260514_145412_677987"", ""mentioned_tool_but_not_called"": 0, ""missions_completed"": 0, ""no_tool_calls_made"": 0, ""pictures_taken"": 2, ""start_time"": 1778770452.5739994, ""tool_calls_invalid_json"": 0, ""tool_calls_missing_fields"": 0, ""tool_calls_nonexistent"": 0, ""tool_calls_present"": 0, ""tool_calls_with_args"": 0, ""tools_transitions"": 2, ""used_model"": """", ""validation_turns"": 0}",0,0.0,0,0.0
